title,description,class
Oracle to drop PeopleSoft suit if tender fails,Oracle Corp. notified Delaware's Court of Chancery of plans to drop a lawsuit pending there against PeopleSoft Inc. if PeopleSoft shareholders reject Oracle's tender offer. The notification is a sign that Oracle is serious about its current offer being the final one.,Sci/Tech
"NTT DoCoMo, IBM, Intel team to secure mobile devices","With an eye towards making mobile devices and the commerce services that run over them more secure, NTT DoCoMo Inc., Intel Corp. and IBM Corp. on Wednesday published a jointly developed security specification called the Trusted Mobile Platform.",Sci/Tech
Election Is Crunch Time for U.S. Secret Service,"With just days to go before the U.S. presidential election, the candidates are darting from one stop to the next #151;putting the pressure on the Secret Service in the process.",Sci/Tech
Former Celtic striker Larsson on Barcelona bench,"Henrik Larsson was left on the bench by Barcelona coach Frank Rijkaard on his return to Parkhead where the Catalonians meet their UEFA Cup conquerors of last season, Celtic on the opening night of the Champions League group stages.",Sports
Four Suicides Linked to Child Porn Probe (AP),"AP - The government will press on with a child pornography crackdown despite the suicides of four people being investigated in the operation, an official said Saturday.",World
Rehnquist's Status Still a Mystery (AP),"AP - Chief Justice William H. Rehnquist's health is shrouded in mystery, the extent of his thyroid cancer a closely guarded secret. Several coming events could give the public an idea about the seriousness of his condition.",World
"Dollar Falls, Hits Record Low Vs. Euro", LONDON (Reuters) - The dollar tumbled to a record low  against the euro and a 12-year trough versus sterling on  Wednesday as it ran into a fresh wave of selling after  consolidating earlier this week.,Business
"US Economy: July New Home Sales Fall, Durable Goods Rise","US new home sales in July fell 6.4 percent to a 1.134 million annual rate, the year #39;s slowest pace and a sign housing may provide less fuel for the economy in coming months.",Business
Mortgage rates take a tumble,"Long-term mortgage rates tumbled to six-month lows this week amid concerns the economic expansion may be losing steam. Defying expectations earlier this year that it would now hover around 6.5 percent, the ",Business
GOP platform: Broadband and R D tax credits,"The Republican party platform includes calls for widely available broadband access, electronic health records and more government R D spending.",Sci/Tech
Famous Faces Add Luster to House Races (AP),"AP - Clooney, Paterno, Bird, Sheen: The guest list at a party for Hollywood ""A""-listers and sports legends? No, just some of famous names running for House seats or helping House candidates around the country.",World
"Japan Stocks Higher, Led by Tech Rebounds (Reuters)","Reuters - The Nikkei average rose 1.24 percent by\mid-morning trade on Monday as a recovery in U.S. stocks\encouraged investors to seek bargains among lagging issues,\including Hitachi Ltd. and other high-tech firms.",Business
Nationwide predicts house price freeze,"House prices across the UK will come to a virtual standstill in 2005, the Nationwide Building Society predicted today. The lender said that property prices in Britain look set to rise by just 2 across the year, compared to a rise of 13 in 2004.",Business
"Francis, Howard Lead Magic Past Hawks","ATLANTA, Nov. 26 (Ticker) -- Steve Francis and rookie Dwight Howard made the defense of the Atlanta Hawks look like it wasn #39;t there.",Sports
NBA to Set new arena security guidelines,"NBA commissioner David Stern says the NBA will set new security guidelines for its arenas, exerting more authority over a matter previously left to individual teams.",Sports
Apple unveils photo-display iPod,Apple introduces an iPod capable of storing and displaying photos in an effort to stay ahead in the market for digital music players.,Business
Sox kick off road trip with win over A #39;s,The Red Sox open a crucial seven-game West Coast road trip with an 8-to-3 victory over the Athletics in Oakland. David Ortiz hit a solo homer and had four RBI #39;s for Boston.,Sports
UPDATE 1-Open-Serena surprised to be crowd favourite,Former champion Serena Williams hammered Patty Schnyder 6-4 6-2 to reach the quarter-finals of the US Open on Sunday and then said she was surprised to have the crowd on her side.,Sports
"Pitino, Myles Discuss U of L #39;s Upcoming Game Against Kentucky","LOUISVILLE, Ky. - Louisville men #39;s basketball head coach Rick Pitino and senior forward Ellis Myles met with members of the media on Friday to preview the Cardinals #39; home game against rival Kentucky on Satursday.",Sports
Villa give Tottenham sixth straight league loss,"Peru midfielder Nolberto Solano helped Aston Villa to a 1-0 win over Tottenham Hotspur, handing the London club sixth straight league defeat Monday in the PremierLeague.",Sports
New legume disease discovered in the US,United States authorities have confirmed they #39;ve found a new legume disease for the first time. Asian soybean rust has been confirmed in two plots at a research station in Louisiana.,Business
Web Server Takedown Called Speech Threat (AP),"AP - Devin Theriot-Orr, a member a feisty group of reporter-activists called Indymedia, was surprised when two FBI agents showed up at his Seattle law office, saying the visit was a ""courtesy call"" on behalf of Swiss authorities.",Sci/Tech
THE CLINCHER Eagles earn division title by rolling over Giants,"No matter how much sugar Eli Manning tried to sprinkle on yesterday #39;s 27-6 loss to the Eagles, he couldn #39;t cover up the sourness of his own performance.",Sports
"Talk of El Nino Floods, Droughts Worries Farmers (Reuters)","Reuters - After a seemingly unending string of\hurricanes and typhoons, talk that the ""little boy"" is stirring\in the Pacific is unwelcome news for weather-battered farmers.",Sci/Tech
NASA picks Northrop Grumman,"Washington- NASA announced late Monday that it had picked Northrop Grumman Space Technology to help it develop a spacecraft that could explore three of Jupiter #39;s moons, a project potentially worth \$232 million to the NASA Glenn Research Center in Cleveland ",Sci/Tech
"Ba #39;asyir transferred to Cipinang, formal charges expected in days","Investigators submitted the case file on cleric Abu Bakar Ba #39;asyir to prosecutors on Wednesday, paving the way for his trial on charges of involvement in a string of terrorist attacks across the country.",World
Charter names two interim CFOs,"Charter Communications Inc. (CHTR.O: Quote, Profile, Research) on Thursday named two executives as interim co-chief financial officers to fill an opening created when its former ",Business
Doing the impossible with Longhorn,"Its funny how circumstances can change your perception of whats possible. A few months ago, key Microsoft architects were telling me that it would be impossible to decouple the Avalon presentation subsystem from the Longhorn OS.",Sci/Tech
Santini opens up over Spurs  #39;divorce #39;,"Jacques Santini, who resigned as Tottenham #39;s head coach nine days ago citing  quot;private issues quot; in his personal life, last night ignited a bitter feud with the north London ",Sports
UN workers abducted in Afghanistan phone home as militants seek &lt;b&gt;...&lt;/b&gt;,"Two of three UN workers kidnapped in Afghanistan called home to reassure relatives they are all right, as negotiators tried Tuesday to secure their release after 12 days in the hands of Taliban-linked militants.",World
Google hints at slowing growth,"Google does not expect to maintain the same pace of revenue growth it has recorded over the last several quarters, the company acknowledged Thursday in a Securities and Exchange Commission filing.",Sci/Tech
Trojan horse program masquerades as anti-spam screensaver,"Get INQ7 breaking news on your Smart mobile phone in the Philippines. Send INQ7 BREAKING to 386. PARIS, France -- A virus that spies on keystrokes and downloads passwords and bank account details is circulating ",Sci/Tech
Recording giants file copyright suit against city music collector,"Brett Bojrab likes music. He owns hundreds of compact discs that he listens to while driving. To avoid hauling CDs back and forth into his house, Bojrab copied much of his music collection onto ",Sci/Tech
Salvation Army looks for new fundraising  quot;target quot;,It #39;s going to be a little quieter outside of Target stores this holiday season. The company isn #39;t allowing the Salvation Army bell ringers outside its stores.,Business
Dell Recalls 1 Million Laptop Power Adapters,"If you have an Inspiron, Latitude, or Precision notebook, then a recall is in effect for your power supply.  quot;Dell on Friday announced that it #39;s recalling almost a million faulty power adapters sold with its ",Business
China to host first stewardess beauty pageant,"Beijing, Sept 4. (PTI): China will host the first International Stewardess Beauty Pageant in early November in Zhuhai in south China #39;s Guangdong Province, the organisers announced today.",World
Verizon Wireless to Add 16 Cities to Broadband,"Verizon Wireless, the largest US wireless company, will expand its high-speed data service to 16 markets by the end of the year, the chairman of Verizon Communications Inc.",Sci/Tech
Gold Fields to Shrug Off Harmony #39;s Voting Bid,"HARMONY has voted its 10,8 of Gold Fields shares against a planned reverse-listing of Gold Fields assets outside southern Africa into IAMGOLD of Canada, Harmony director Ferdi Dippenaar said yesterday.",Business
US-European tensions deepen over Irans nuclear program,Next weeks meeting of the International Atomic Energy Agency (IAEA) board of governors over Irans nuclear programs is looming as a tense diplomatic battleground between the US and its European rivals.,World
Seven foreign hostages released,"is all smiles as released hostages Simona Torretta (R) and Simon Pari celebrate as they arrive at Ciampino Airport in Rome September 28, 2004.",World
Pinsent calls time on golden career,"Matthew Pinsent, the four-time Olympic gold medallist, confirmed today that he is to retire from the sport - as reported in The Times yesterday.",Sports
Sorenstam ends the year with another trophy,"Despite 33 victories in the last four years, Annika Sorenstam keeps saying that winning is not as easy as she makes it look. Not many could argue with her at the season-ending ADT Championship.",Sports
Karzai turns to war on drugs and insurgents,"Freshly installed Afghan Pres-ident Hamid Karzai was gearing up yesterday to address tribal leaders on the need to eliminate this war-ravaged country #39;s booming drug trade, an aide said.",World
BIOTECH STOCKS,"LOS ANGELES (CBS.MW) -- Biotechnology and pharmaceutical stocks fell Thursday, with Merck helping drag down the sector on word its Vioxx drug could increase the risk of cardiovascular trouble.",Business
ISS Astronauts Prepare for Another Spacewalk,"NASA -- International Space Station Commander Gennady Padalka and NASA ISS Science Officer Mike Fincke will replace and install equipment during their fourth and final Expedition 9 spacewalk.     Some of that equipment, three new antennas, will help guide the new Automated Transfer Vehicle (ATV) to its first docking to the Station late next year...",Sci/Tech
